"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas"
"ABDALA",NA,"PABLO",NA,1453,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1966-07-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43,"1985-2020"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1945-11-12,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,64,64,"1985-2020"
"AGAZZI",NA,"ERNESTO",NA,14,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1942-09-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,67,67,"1985-2020"
"ALONSO",NA,"VERONICA",NA,2399,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1973-10-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,36,36,"1985-2020"
"AMADO",NA,"FERNANDO",NA,2387,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"AMY",NA,"JOSE",NA,2384,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Soriano",1,NA,1967-11-03,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,42,42,"1985-2020"
"ARREGUI",NA,"ROQUE",NA,1493,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Soriano",1,NA,1950-08-16,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,59,59,"1985-2020"
"ASTORI",NA,"DANILO",NA,137,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1940-04-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,69,69,"1985-2020"
"BANGO",NA,"JULIO",NA,2311,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1962-09-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,47,47,"1985-2020"
"BARAIBAR",NA,"CARLOS",NA,1512,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1939-07-13,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,70,70,"1985-2020"
"BATTISTONI",NA,"JULIO",NA,2327,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1945-01-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,65,65,"1985-2020"
"BAYARDI",NA,"JOSE",NA,1529,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1955-06-30,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,54,54,"1985-2020"
"BERNINI",NA,"GUSTAVO",NA,2304,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1958-09-29,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,51,51,"1985-2020"
"BIANCHI",NA,"DANIEL",NA,219,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Colonia",1,NA,1962-09-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,47,47,"1985-2020"
"BISTOLFI",NA,"MARCELO",NA,2392,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Salto",1,NA,1966-06-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43,"1985-2020"
"BONOMI",NA,"EDUARDO",NA,232,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1948-10-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,61,61,"1985-2020"
"BORDABERRY",NA,"PEDRO",NA,2390,"Partido Colorado",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1960-04-28,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,49,49,"1985-2020"
"BOTANA",NA,"SERGIO",NA,243,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Cerro Largo",1,NA,1964-11-08,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,45,45,"1985-2020"
"CACERES",NA,"GRACIELA",NA,2302,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Río Negro",0,NA,1962-01-03,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,48,48,"1985-2020"
"CAGGIANI",NA,"DANIEL",NA,2315,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1983-07-20,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,26,26,"1985-2020"
"CAMPANELLA",NA,"WALTER","HUGO",2403,"Partido Nacional",NA,NA,47,"Senador","Titular",NA,1,NA,1948-03-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,64,NA,64,"1985-2020"
"CANTERO",NA,"FITZGERALD",NA,2377,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1978-01-31,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,32,32,"1985-2020"
"CARAM",NA,"RODOLFO",NA,2405,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Artigas",1,NA,1964-10-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,45,45,"1985-2020"
"CARBALLO",NA,"FELIPE",NA,1618,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1972-08-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,37,37,"1985-2020"
"CARDOSO",NA,"GERMAN",NA,1622,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Maldonado",1,NA,1973-10-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,36,36,"1985-2020"
"CASAS",NA,"ALBERTO",NA,1633,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","San José",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"CERSOSIMO",NA,"GUSTAVO",NA,2383,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","San José",1,NA,1953-04-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,56,56,"1985-2020"
"CONDE",NA,"ROBERTO",NA,363,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1952-09-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,57,57,"1985-2020"
"COURIEL",NA,"ALBERTO",NA,385,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1935-08-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,74,74,"1985-2020"
"COUTINHO",NA,"GERMAN",NA,2381,"Partido Colorado",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1970-04-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,39,39,"1985-2020"
"DA ROSA VAZQUEZ","ROSA VAZQUEZ","EBER",NA,398,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1956-07-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"DALMAS",NA,"SUSANA",NA,1698,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,0,NA,1948-07-16,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,61,61,"1985-2020"
"DAVILA",NA,"HUGO",NA,2298,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Artigas",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"DE LEON","LEON","WALTER",NA,2295,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","San José",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"DE TORO","TORO","GONZALO",NA,2338,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1950-06-08,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,59,59,"1985-2020"
"DELGADO",NA,"ALVARO",NA,445,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1969-03-11,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,40,40,"1985-2020"
"EGUILUZ",NA,"MARIA","CECILIA",2389,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Salto",0,NA,1974-08-29,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,35,35,"1985-2020"
"ESPINOSA",NA,"GUSTAVO","A.",498,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"FACELLO",NA,"GUILLERMO",NA,2388,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1953-09-08,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,56,56,"1985-2020"
"FERNANDEZ","HUIDOBRO","ELEUTERIO",NA,531,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1942-03-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,67,67,"1985-2020"
"FONTICIELLA",NA,"RAMON",NA,569,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1947-08-31,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,62,62,"1985-2020"
"FRACCHIA","BRAIDA","ROBERTO",NA,2342,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Lavalleja",1,NA,1943-11-27,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66,"1985-2020"
"GAMOU",NA,"CARLOS",NA,606,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1959-08-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,50,50,"1985-2020"
"GANDINI",NA,"JORGE",NA,1797,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1958-03-05,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,51,51,"1985-2020"
"GARCIA",NA,"MARIO",NA,612,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Lavalleja",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"GARINO",NA,"JUAN","MANUEL",2376,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1981-12-15,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,28,28,"1985-2020"
"GLOODOTFSKY",NA,"ANIBAL",NA,2372,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1960-09-27,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,49,49,"1985-2020"
"GOÑI","ROMERO","RODRIGO",NA,665,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Salto",1,NA,1962-08-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,47,47,"1985-2020"
"HEBER",NA,"LUIS","ALBERTO",720,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1957-12-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"LARRAÑAGA",NA,"JORGE","W.",791,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1956-08-08,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"LAURNAGA",NA,"MARIA","ELENA",2335,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1954-12-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
"LORIER",NA,"EDUARDO",NA,1907,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1952-09-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,57,57,"1985-2020"
"MAGURNO",NA,"OSCAR",NA,853,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1930-03-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,79,79,"1985-2020"
"MATIAUDE",NA,"GRACIELA",NA,2373,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Canelones",0,NA,1957-03-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"MAZZONI",NA,"PABLO",NA,2351,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Lavalleja",1,NA,1961-01-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,49,49,"1985-2020"
"MAÑANA",NA,"DANIEL",NA,2407,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Río Negro",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"MICHELINI",NA,"RAFAEL",NA,925,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1958-10-30,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,51,51,"1985-2020"
"MICHELINI",NA,"FELIPE",NA,924,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1961-01-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,49,49,"1985-2020"
"MINETTI",NA,"ORQUIDEA",NA,2313,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1954-09-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
"MONTANER",NA,"MARTHA",NA,1950,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Tacuarembó",0,NA,1955-01-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
"MOREIRA",NA,"CONSTANZA",NA,2367,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,0,NA,1960-02-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,49,49,"1985-2020"
"MUJICA",NA,"GONZALO",NA,963,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1956-06-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"MUTTI","FORNAROLI","MANUELA",NA,2310,"Frente Amplio",NA,NA,47,"Diputado","Titular","Montevideo",0,NA,1987-01-13,2010-02-15,2015-02-14,2012-08-15 12:00:00,25,NA,25,"1985-2020"
"NIFFOURI",NA,"AMIN",NA,2401,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1971-12-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,38,38,"1985-2020"
"NIN","NOVOA","RODOLFO",NA,980,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1948-01-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,62,62,"1985-2020"
"NOVALES",NA,"GONZALO",NA,984,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Soriano",1,NA,1943-05-30,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66,"1985-2020"
"OLIVERA",NA,"RAUL",NA,2328,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"ORRICO",NA,"JORGE",NA,1012,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1946-10-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,63,63,"1985-2020"
"OTEGUI","GRIEGO","MIGUEL",NA,2415,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Paysandú",1,NA,1949-07-20,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,60,60,"1985-2020"
"PARDINAS",NA,"YERU",NA,2357,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Cerro Largo",1,NA,1955-10-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,54,54,"1985-2020"
"PASSADA",NA,"IVONNE",NA,2329,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,0,NA,1956-04-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"PAYSEE",NA,"DANIELA",NA,2006,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1946-10-17,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,63,63,"1985-2020"
"PEDREIRA",NA,"GUZMAN",NA,2359,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Flores",1,NA,1979-10-11,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,30,30,"1985-2020"
"PENADES",NA,"GUSTAVO",NA,2009,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1965-10-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,44,44,"1985-2020"
"PEREYRA",NA,"SUSANA",NA,2303,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1956-04-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"PEREZ",NA,"ESTEBAN",NA,2019,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"PERRACHON",NA,"MARIO",NA,2307,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Colonia",1,NA,1943-03-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66,"1985-2020"
"PINTADO",NA,"ENRIQUE",NA,1098,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1958-01-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"PIÑEYRUA","OLMOS","ANA","LIA",1097,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1954-11-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
