"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas"
"PLACERES",NA,"DANIEL",NA,2301,"Frente Amplio",NA,NA,47,"Diputado","Titular","Canelones",1,NA,1965-11-18,2010-02-15,2015-02-14,2012-08-15 12:00:00,46,NA,46,"1985-2020"
"PLANCHON",NA,"RICARDO",NA,2041,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Colonia",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"POSADA",NA,"IVAN",NA,1127,"Partido Independiente",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1953-12-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,56,56,"1985-2020"
"PUIG",NA,"LUIS",NA,2320,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"RADIO",NA,"DANIEL",NA,2398,"Partido Independiente",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1959-02-20,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,50,50,"1985-2020"
"ROMBYS",NA,"GUSTAVO",NA,2323,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Paysandú",1,NA,1961-04-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,48,48,"1985-2020"
"ROSADILLA",NA,"LUIS",NA,1213,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1953-12-21,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,56,56,"1985-2020"
"RUBIO",NA,"ENRIQUE",NA,2115,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1943-04-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66,"1985-2020"
"SABINI",NA,"SEBASTIAN",NA,2340,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1981-06-11,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,28,28,"1985-2020"
"SANCHEZ",NA,"ALEJANDRO",NA,2317,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1980-04-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,29,29,"1985-2020"
"SANDER",NA,"RICHARD",NA,2378,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Rivera",1,NA,1964-08-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,45,45,"1985-2020"
"SANSEVERINO",NA,"BERTA",NA,2308,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1946-04-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,63,63,"1985-2020"
"SARAVIA",NA,"JORGE",NA,1267,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1958-05-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,51,51,"1985-2020"
"SARAVIA",NA,"PEDRO",NA,2141,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Cerro Largo",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"SEMPRONI",NA,"VICTOR",NA,2161,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1937-03-27,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,72,72,"1985-2020"
"SILVA",NA,"RUBENSON",NA,2312,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Rivera",1,NA,1961-11-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,48,48,"1985-2020"
"SILVERA","ARAUJO","MARIO",NA,2402,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Treinta y Tres",1,NA,1971-03-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,38,38,"1985-2020"
"SOUZA",NA,"JUAN","C.",1331,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"TAJAM",NA,"HECTOR",NA,1345,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1947-09-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,62,62,"1985-2020"
"TAJAM",NA,"HECTOR",NA,1345,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1947-09-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,62,62,"1985-2020"
"TIERNO",NA,"MARTIN",NA,2314,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Durazno",1,NA,1983-03-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,26,26,"1985-2020"
"TOPOLANSKY",NA,"LUCIA",NA,2212,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,0,NA,1944-09-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,65,65,"1985-2020"
"TOURNE",NA,"DAISY",NA,2214,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1951-03-17,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,58,58,"1985-2020"
"UMPIERREZ",NA,"JAVIER",NA,2296,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Lavalleja",1,NA,1964-05-15,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,45,45,"1985-2020"
"VAZQUEZ",NA,"JUAN","ANGEL",2394,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1939-12-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,70,70,"1985-2020"
"VERRI",NA,"WALTER",NA,2382,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Paysandú",1,NA,1962-08-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,47,47,"1985-2020"
"VIERA",NA,"TABARE",NA,1427,"Partido Colorado",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1955-04-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,54,54,"1985-2020"
"VIVIAN",NA,"DIONISIO",NA,2299,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1951-10-29,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,58,58,"1985-2020"
"XAVIER",NA,"MONICA",NA,2271,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,0,NA,1956-12-16,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"YANES",NA,"HORACIO",NA,2272,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1960-12-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,49,49,"1985-2020"
"LACALLE","HERRERA","LUIS","ALBERTO",769,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1941-07-13,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,68,68,"1985-2020"
"LACALLE","POU","LUIS","ALBERTO",770,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1973-08-11,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,36,36,"1985-2020"
"AMORIN","BATLLE","JOSE",NA,3811,"Partido Colorado",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1954-11-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
"AROCENA","ARGUI","JOSE","ANDRES",3817,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Florida",1,NA,1964-05-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,45,45,"1985-2020"
"BENTOS",NA,"BERTIL",NA,3835,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Paysandú",1,NA,1942-08-15,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,67,67,"1985-2020"
"BEROIS","QUINTEROS","RICARDO",NA,3836,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Flores",1,NA,1957-09-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"BORSARI","BRENNA","GUSTAVO",NA,3843,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1954-11-28,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
"CARDOSO",NA,"JOSE","CARLOS",3859,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Rocha",1,NA,1958-04-24,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,51,51,"1985-2020"
"CHIESA","BRUNO","ANTONIO",NA,4371,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Tacuarembó",1,NA,1953-07-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,56,56,"1985-2020"
"CHIRUCHI",NA,"JUAN","ANTONIO",3875,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1947-10-21,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,62,62,"1985-2020"
"CIVILA","LOPEZ","GONZALO",NA,3876,"Frente Amplio",NA,NA,47,"Diputado","Titular","Montevideo",1,NA,1984-12-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,27,NA,27,"1985-2020"
"ENCISO","CHRISTIANSEN","CARLOS",NA,3888,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Florida",1,NA,1967-08-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,42,42,"1985-2020"
"FERNANDEZ",NA,"JULIO","CESAR",3897,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Rivera",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"GALLINAL","NIETO","FRANCISCO","GUSTAVO",3910,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1957-05-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"GARCIA","DUCHINI","JAVIER",NA,3917,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1963-11-28,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,46,46,"1985-2020"
"GROBA","ARRIONDO","OSCAR",NA,3934,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1951-01-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,59,59,"1985-2020"
"IBARRA",NA,"DOREEN","JAVIER",3941,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1934-05-03,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,75,75,"1985-2020"
"ITURRALDE","VIÑAS","PABLO",NA,3945,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1959-09-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,50,50,"1985-2020"
"LIMA",NA,"ANDRES",NA,3954,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Salto",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"MAHIA",NA,"JOSE","CARLOS",3967,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1966-08-08,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43,"1985-2020"
"MARTINEZ",NA,"DANIEL",NA,3983,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1957-02-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"MARTINEZ","HUELMO","RUBEN",NA,3984,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1949-09-27,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,60,60,"1985-2020"
"MOREIRA","REISCH","CARLOS",NA,4000,"Partido Nacional",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1946-05-16,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,63,63,"1985-2020"
"OSORIO",NA,"MARNE",NA,4011,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Rivera",1,NA,1966-02-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,44,44,"1985-2020"
"PASQUET","IRIBARNE","OPE",NA,4014,"Partido Colorado",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1956-01-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,54,54,"1985-2020"
"PERDOMO","GAMARRA","ALBERTO",NA,4018,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1967-04-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,42,42,"1985-2020"
"PEREIRA","DE ONORATTO","MARIA","DEL",4020,"Partido Nacional",NA,NA,47,"Diputado","Titular","Paysandú",0,NA,1966-11-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,45,NA,45,"1985-2020"
"PEREYRA",NA,"ANIBAL",NA,4022,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Rocha",1,NA,1966-11-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43,"1985-2020"
"PEÑA","FERNANDEZ","DANIEL",NA,4030,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Canelones",1,NA,1972-12-21,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,37,37,"1985-2020"
"PEÑA","HERNANDEZ","ADRIANA",NA,4031,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Lavalleja",0,NA,1964-03-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,45,45,"1985-2020"
"RODRIGUEZ","GALVEZ","CARLOS",NA,4073,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Florida",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"RODRIGUEZ",NA,"EDGARDO",NA,4063,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Tacuarembó",1,NA,1961-12-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,48,48,"1985-2020"
"RODRIGUEZ","SERVETTO","NELSON",NA,4071,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Maldonado",1,NA,1959-07-19,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,50,50,"1985-2020"
"SANCHEZ","CAL","DARDO","ANGEL",4084,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Treinta y Tres",1,NA,1957-04-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"SOLARI","DAMONTE","ALFREDO",NA,4095,"Partido Colorado",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1944-07-05,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,65,65,"1985-2020"
"TOLEDO","ANTUNEZ","HERMES",NA,4109,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Treinta y Tres",1,NA,1949-12-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,60,60,"1985-2020"
"TROBO",NA,"JAIME","MARIO",4110,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1956-10-05,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"VEGA","LLANES","ALVARO",NA,4121,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Florida",1,NA,1957-11-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"VIDALIN",NA,"CARMELO",NA,4123,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Durazno",1,NA,1955-11-17,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,54,54,"1985-2020"
"ASTI",NA,"ALFREDO",NA,4135,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1948-10-02,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,61,61,"1985-2020"
"AYALA",NA,"PATRICIA",NA,4136,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Artigas",1,NA,1966-08-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,43,43,"1985-2020"
"MALLO",NA,"ALMA",NA,4178,"Partido Colorado",2010-02-15,NA,47,"Diputado","Titular","Montevideo",0,NA,1940-08-09,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,69,69,"1985-2020"
"GALLO","IMPERIALE","LUIS","JOSE",4235,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1934-05-31,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,75,75,"1985-2020"
"GALLO","CANTERA","LUIS","ENRIQUE",4234,"Frente Amplio",NA,NA,47,"Diputado","Titular","Canelones",1,NA,1961-01-14,2010-02-15,2015-02-14,2012-08-15 12:00:00,51,NA,51,"1985-2020"
"VARELA","NESTIER","CARLOS",NA,4251,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1954-05-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,55,55,"1985-2020"
"PEREZ",NA,"PABLO",NA,4311,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Maldonado",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"POZZI",NA,"JORGE",NA,4319,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Montevideo",1,NA,1957-04-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2020"
"GUERRINI","RIESTRA","ALDO","ULISES",4353,"Frente Amplio",NA,NA,47,"Diputado","Titular","Montevideo",1,NA,1949-02-17,2010-02-15,2015-02-14,2012-08-15 12:00:00,63,NA,63,"1985-2020"
"PEREZ","BRITO","DARIO",NA,4309,"Frente Amplio",2010-02-15,NA,47,"Diputado","Titular","Maldonado",1,NA,1957-01-06,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"AMARILLA",NA,"GERARDO",NA,4369,"Partido Nacional",2010-02-15,NA,47,"Diputado","Titular","Rivera",1,NA,1969-02-01,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,41,41,"1985-2020"
