"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","legislaturas_agrupadas","agregado","fecha_intermedia","ed_asumir","ed_asumir_1","edad_asumir"
"ENCISO","CHRISTIANSEN","CARLOS","FERNANDO",3888,"Partido Nacional",2015,2015,47,"Senador","Titular",NA,1,1967-08-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,42,NA,42
"FERNANDEZ","HUIDOBRO","ELEUTERIO",NA,531,"Frente Amplio",2010,2011,47,"Senador","Titular",NA,1,1942-03-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,67,NA,67
"GALLINAL","NIETO","FRANCISCO","GUSTAVO APARICIO",3910,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1957-05-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"GARGANO","OSTUNI","REINALDO","APOLO",1805,"Frente Amplio",2010,2011,47,"Senador","Titular",NA,1,1934-07-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,75,NA,75
"HEBER","FONTANA","LUIS","ALBERTO",720,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1957-12-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"AMORIN","BATLLE","JOSE","GERARDO",3811,"Partido Colorado",2010,2015,47,"Senador","Titular",NA,1,1954-11-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"LACALLE","DE","LUIS","ALBERTO RAMON",769,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1941-07-13,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,68,NA,68
"LARRANAGA","FRAGA","JORGE","WASHINGTON",791,"Partido Nacional",2010,2014,47,"Senador","Titular",NA,1,1956-08-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"LORIER","SANDRO","EDUARDO",NA,1907,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1952-09-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,57,NA,57
"MARTINEZ","VILLAAMIL","DANIEL","CARLOS",3983,"Frente Amplio",2015,2015,47,"Senador","Titular",NA,1,1957-02-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"MARTINEZ","VILLAAMIL","DANIEL","CARLOS",3983,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1957-02-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"MICHELINI","DELLE","RAFAEL","EUGENIO",925,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1958-10-30,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"MOREIRA","REISCH","CARLOS","ALBERTO",4000,"Partido Nacional",2015,2015,47,"Senador","Titular",NA,1,1946-05-16,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,63,NA,63
"MOREIRA","REISCH","CARLOS","ALBERTO",4000,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1946-05-16,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,63,NA,63
"MOREIRA","VINAS","CONSTANZA","BEATRIZ",2367,"Frente Amplio",2010,2014,47,"Senador","Titular",NA,0,1960-02-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,49,NA,49
"NIN","NOVOA","RODOLFO",NA,980,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1948-01-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,62,NA,62
"PASQUET","IRIBARNE","OPE",NA,4014,"Partido Colorado",2010,2015,47,"Senador","Titular",NA,1,1956-01-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,54,NA,54
"PENADES","ETCHEVARNE","GUSTAVO","CARLOS",2009,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,1965-10-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,44,NA,44
"ASTORI","SARAGOSA","DANILO","ANGEL",137,"Frente Amplio",2010,2010,47,"Senador","Titular",NA,1,1940-04-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,69,NA,69
"RUBIO","BRUNO","ENRIQUE","VICENTE",2115,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1943-04-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,66,NA,66
"SARAVIA","GARASSINI","JORGE","JOSE",1267,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1958-05-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,51,NA,51
"TOPOLANSKY","SAAVEDRA","LUCIA",NA,2212,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,0,1944-09-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,65,NA,65
"VIERA","DUARTE","TABARE",NA,1427,"Partido Colorado",2010,2015,47,"Senador","Titular",NA,1,1955-04-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,54,NA,54
"XAVIER","YELPO","MONICA",NA,2271,"Frente Amplio",2010,2013,47,"Senador","Titular",NA,0,1956-12-16,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"BONOMI","VARELA","EDISON","EDUARDO",232,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1948-10-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,61,NA,61
"BORDABERRY","HERRAN","JUAN","PEDRO",2390,"Partido Colorado",2010,2015,47,"Senador","Titular",NA,1,1960-04-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,49,NA,49
"BOTANA","ARANCET","LUIS","SERGIO",243,"Partido Nacional",2015,2015,47,"Senador","Titular",NA,1,1964-01-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,46,NA,46
"BARAIBAR","PONCE","FELIX","CARLOS",4585,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,1939-07-13,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,70,NA,70
"EGUILUZ","LAXAGUE","MARIA","CECILIA",2389,"Partido Colorado",2010,2010,47,"Diputado","Suplente","Salto",0,1974-08-29,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,37,37
"OTEGUI","GRIEGO","MIGUEL","JESUS",2415,"Partido Nacional",2010,2015,47,"Diputado","Suplente","Paysandú",1,1949-07-20,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,63,63
"ANDRADE","LALLANA","OSCAR",NA,2322,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,1974-08-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,38,38
"AROCENA","ARGUL","JOSE","ANDRES",3817,"Partido Nacional",2010,2015,47,"Diputado","Suplente","Florida",1,1964-05-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,48,48
"SANDER","DARIN","RICHARD","SAUL",2378,"Partido Colorado",2010,2015,47,"Diputado","Suplente","Rivera",1,1964-08-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,48,48
"SANSEVERINO","MANSILLA","BERTA",NA,2308,"Frente Amplio",2010,2015,47,"Diputado","Suplente","Montevideo",0,1946-04-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,66,66
"BESOZZI","AROCENA","GUILLERMO","JULIO",2417,"Partido Nacional",2015,2015,47,"Diputado","Suplente",NA,1,1961-10-16,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,50,50
"BISTOLFI","ZUNINI","MARCELO",NA,2392,"Partido Colorado",2010,2015,47,"Diputado","Suplente","Salto",1,1966-06-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,46,46
"BOTANA","ARANCET","LUIS","SERGIO",243,"Partido Nacional",2010,2010,47,"Diputado","Suplente","Cerro Largo",1,1964-01-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,48,48
"GONZALEZ","RODRIGUEZ","DANIEL","ALEJANDRO",4556,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,1972-07-20,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,NA,40,40
"GUERRERO","NIETO","MARIO","ALBERTO",4663,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,1942-04-09,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,NA,70,70
"LIMA","PROSERPIO","ANA","IRENE",4534,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,0,1976-06-21,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,NA,36,36
"MARIONE","BUCHIAZZO","FABRICIO","DANIEL",4582,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,1973-01-11,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,NA,39,39
"VAZQUEZ","LASSERRA","JUAN","ANGEL",4631,"Partido Colorado",2010,2015,47,"Diputado","Suplente",NA,1,1940-12-14,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,NA,71,71
"VILLALBA","BELEN","LIDIA","ELIZABETH",4644,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,0,1960-12-14,2010-02-15,2015-02-14,"1985-2020",1,2012-08-15,NA,51,51
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",2012,2012,47,"Senador","Suplente",NA,1,1966-07-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,46,46
"ABT","MURIONDO","ANDRES",NA,2970,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,1973-08-11,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,39,39
"ALONSO","MONTANO","VERONICA","MARIA",2399,"Partido Nacional",2010,2014,47,"Senador","Suplente",NA,0,1973-10-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,38,38
"ALPUY","FERREIRA","NELSON","TABARE",3067,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,1946-03-15,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,66,66
"CLAVIJO","QUIRQUE","HEBERT",NA,354,"Frente Amplio",2010,2015,47,"Senador","Suplente",NA,1,1950-05-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,62,62
"CONDE","CARRERAS","ROBERTO",NA,363,"Frente Amplio",2013,2014,47,"Senador","Suplente",NA,1,1952-09-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,59,59
"CROSA","MARCOS","FERNANDO","JULIO",1202,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,1969-09-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,42,42
"DA SILVA","CAMBOUE","SEBASTIAN",NA,1697,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,1972-06-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,40,40
"DEMARCO BEROIS",NA,"MARIELLA",NA,1718,"Partido Independiente",2010,2010,47,"Diputado","Suplente",NA,0,1955-07-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,57,57
"DINI","SIQUEIRA","DANTE","DINO",2408,"Partido Colorado",2010,2015,47,"Diputado","Suplente",NA,1,1955-11-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,56,56
"DUCHE","FERREIRA","GABRIEL","APOLONIO",2800,"Frente Amplio",2014,2015,47,"Diputado","Suplente",NA,1,1952-09-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,59,59
"ENCISO","CHRISTIANSEN","CARLOS","FERNANDO",3888,"Partido Nacional",2010,2010,47,"Senador","Suplente",NA,1,1967-08-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,44,44
"FACELLO","GERMANO","GUILLERMO","RUBEN",2388,"Partido Colorado",2011,2015,47,"Diputado","Suplente","Montevideo",1,1953-09-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,58,58
"FACELLO","GERMANO","GUILLERMO","RUBEN",2388,"Partido Colorado",2010,2011,47,"Diputado","Suplente","Montevideo",1,1953-09-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,58,58
"FERNANDEZ","DOMINGUEZ","GONZALO","DANIEL",1762,"Frente Amplio",2010,2010,47,"Senador","Suplente",NA,1,1952-03-21,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,60,60
"FONTICIELLA","DE","RAMON","ANGEL",569,"Frente Amplio",2010,2011,47,"Senador","Suplente",NA,1,1947-08-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,64,64
"GALLO","IMPERIALE","LUIS","JOSE",4235,"Frente Amplio",2013,2015,47,"Senador","Suplente",NA,1,1934-05-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,78,78
"GALLO","IMPERIALE","LUIS","JOSE",4235,"Frente Amplio",2010,2013,47,"Senador","Suplente",NA,1,1934-05-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,78,78
"GAMOU","FASADELLO","ADOLFO","CARLOS",606,"Frente Amplio",2010,2015,47,"Diputado","Suplente","Montevideo",1,1959-08-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,53,53
"GAMOU","FASADELLO","ADOLFO","CARLOS",606,"Frente Amplio",2010,2012,47,"Senador","Suplente",NA,1,1959-08-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,53,53
"GANDINI","ASTESIANO","JORGE","OSVALDO",1797,"Partido Nacional",2010,2015,47,"Senador","Suplente",NA,1,1958-03-05,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,54,54
"GARCIA","DUCHINI","JAVIER","FERNANDO",3917,"Partido Nacional",2010,2012,47,"Senador","Suplente",NA,1,1963-11-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,48,48
"GIANOLI","TRAVIESO","HECTOR","GABRIEL",4167,"Partido Nacional",2012,2014,47,"Diputado","Suplente",NA,1,1966-11-13,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,45,45
"GIURIA","BARBOT","RAUL","BARTOLOME",1815,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,1948-03-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,64,64
"GONI","REYES","RODRIGO",NA,665,"Partido Nacional",2010,2015,47,"Diputado","Suplente","Salto",1,1967-07-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,45,45
"GUARINO",NA,"GUSTAVO",NA,697,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,1950-04-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,62,62
"GUERRINI","RIESTRA","ALDO","ULISES",4353,"Frente Amplio",2010,2013,47,"Diputado","Suplente","Montevideo",1,1949-02-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,63,63
"AMARO","CEDRES","JUAN","JUSTO",4219,"Partido Colorado",2010,2010,47,"Senador","Suplente",NA,1,1957-02-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,55,55
"AMY","TEJERA","JOSE","ANTONIO",2384,"Partido Colorado",2015,2015,47,"Senador","Suplente",NA,1,1967-11-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,44,44
"ITURRALDE","VINAS","PABLO","LUIS",3945,"Partido Nacional",2012,2014,47,"Senador","Suplente",NA,1,1959-09-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,52,52
"ITURRALDE","VINAS","PABLO","LUIS",3945,"Partido Nacional",2010,2010,47,"Senador","Suplente",NA,1,1959-09-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,52,52
"LAFLUF","LAFLUF","RAUL",NA,2882,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,1945-06-15,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,67,67
"LAGUARDA","FISCHETTI","MANUEL",NA,1874,"Frente Amplio",2012,2014,47,"Senador","Suplente",NA,1,1949-02-13,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,63,63
"LAMORTE","RUSSOMANNO","ALDO","JOSE",3313,"Partido Nacional",2010,2014,47,"Senador","Suplente",NA,1,1957-01-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,55,55
"LASCANO","ARANDA","WALTER","HUGO",2993,"Partido Independiente",2010,2014,47,"Diputado","Suplente",NA,1,1966-08-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,45,45
"LAZO","GUEREQUIZ","SANDRA","MARIA",2362,"Frente Amplio",2010,2013,47,"Diputado","Suplente",NA,0,1967-04-12,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,45,45
"LEMA","PERRETTA","MARTIN",NA,2428,"Partido Nacional",2013,2014,47,"Diputado","Suplente",NA,1,1982-09-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,29,29
"LESCANO","FRASCHINI","HECTOR","CARLOS",3953,"Frente Amplio",2012,2015,47,"Senador","Suplente",NA,1,1948-02-13,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,64,64
"MALAQUINA","UGOLINI","EDUARDO","RAMON",855,"Partido Colorado",2011,2015,47,"Senador","Suplente",NA,1,1936-08-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,75,75
"MARTINEZ","HUELMO","RUBEN","WALDEMAR",3984,"Frente Amplio",2010,2015,47,"Senador","Suplente",NA,1,1949-09-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,62,62
"MAZZONI","MOROSOLI","PABLO","ENRIQUE",2351,"Frente Amplio",2011,2013,47,"Diputado","Suplente","Lavalleja",1,1961-01-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,51,51
"MAZZONI","MOROSOLI","PABLO","ENRIQUE",2351,"Frente Amplio",2010,2011,47,"Diputado","Suplente","Lavalleja",1,1961-01-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,51,51
"MIER","ESTADES","SERGIO","ANTERES",2318,"Frente Amplio",2013,2015,47,"Diputado","Suplente",NA,1,1955-06-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,57,57
"MINETTI","FERNANDEZ","ORQUIDEA",NA,2313,"Frente Amplio",2013,2015,47,"Diputado","Suplente","Canelones",0,1954-09-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,57,57
"MONTANER","FORMOSO","MARTHA","SILVANA",1950,"Partido Colorado",2010,2015,47,"Senador","Suplente",NA,0,1955-01-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,57,57
"MUGURUZA","GALVALISI","EDUARDO","MARIA",1962,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,1940-09-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,71,71
"MUJICA","BENOIT","GONZALO","FERNANDO",963,"Frente Amplio",2015,2015,47,"Senador","Suplente",NA,1,1956-06-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,56,56
"OBISPO","BUENO","RUBEN","MARIA",990,"Frente Amplio",2010,2015,47,"Senador","Suplente",NA,1,1933-09-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,78,78
"OSTA","CALLEROS","JOSE","GUSTAVO",1990,"Partido Colorado",2011,2014,47,"Diputado","Suplente",NA,1,1969-11-29,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,42,42
"PASSADA","LEONCINI","IVONNE","GRAZIELLA",2329,"Frente Amplio",2015,2015,47,"Senador","Suplente",NA,1,1956-04-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,56,56
"PAYSSE","RODRIGUEZ","DANIELA",NA,2006,"Frente Amplio",2015,2015,47,"Senador","Suplente",NA,0,1946-10-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,65,65
"PENA","HERNANDEZ","MARIA","ADRIANA",4031,"Partido Nacional",2015,2015,47,"Senador","Suplente",NA,0,1964-09-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,47,47
"PEREYRA","HUELMO","HECTOR","ANIBAL",4022,"Frente Amplio",2010,2013,47,"Senador","Suplente",NA,1,1966-11-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,45,45
"ANTOGNAZZA","IMAS","MILTON","JESUS",1482,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,1935-07-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,77,77
"AREZO","NANDE","ENRIQUE",NA,4134,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,1978-05-15,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,34,34
"ARISTIMUNO","FUMERO","CARMELO","SAUL",2353,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,1951-07-18,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,61,61
"AROCENA","ARGUL","JOSE","ANDRES",3817,"Partido Nacional",2010,2010,47,"Diputado","Suplente","Florida",1,1964-05-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,48,48
"PERRONE","CABRERA","ALVARO","LUIS",4189,"Partido Colorado",2013,2013,47,"Diputado","Suplente",NA,1,1977-06-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,35,35
"PINEYRUA","OLMOS","ANA","LIA",2534,"Partido Nacional",2015,2015,47,"Senador","Suplente",NA,0,1954-11-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,57,57
"PINTADO",NA,"ENRIQUE","MANUEL",1098,"Frente Amplio",2010,2010,47,"Senador","Suplente",NA,1,1958-01-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,54,54
"REISCH","VILA","NIBIA","ANDREA",2393,"Partido Colorado",2010,2015,47,"Diputado","Suplente",NA,0,1971-06-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,41,41
"REISCH","VILA","NIBIA","ANDREA",2393,"Partido Colorado",2010,2010,47,"Diputado","Suplente",NA,0,1971-06-28,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,41,41
"RONDEAU","BARRETO","ANIBAL","RODOLFO",2104,"Frente Amplio",2012,2014,47,"Diputado","Suplente",NA,1,1947-04-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,65,65
"RONDEAU","BARRETO","ANIBAL","RODOLFO",2104,"Frente Amplio",2011,2015,47,"Senador","Suplente",NA,1,1947-04-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,65,65
"ROSADILLA","PEREIRA","LUIS","ANGEL",1213,"Frente Amplio",2011,2015,47,"Senador","Suplente",NA,1,1953-12-21,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,58,58
"SANABRIA","MENDOZA","WILSON","DANUBIO",2129,"Partido Colorado",2010,2013,47,"Senador","Suplente",NA,1,1949-08-18,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,62,62
"SANCHEZ","PEREIRA","ALEJANDRO","DARIO",2317,"Frente Amplio",2010,2015,47,"Diputado","Suplente","Montevideo",1,1980-04-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,32,32
"SANDER","DARIN","RICHARD","SAUL",2378,"Partido Colorado",2010,2010,47,"Diputado","Suplente","Rivera",1,1964-08-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,48,48
"SARASOLA","ROBAINA","ALBA","ALICIA",2799,"Frente Amplio",2010,2013,47,"Diputado","Suplente",NA,0,1959-12-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,52,52
"SCAVARELLI","ESCOBAR","ALBERTO","RAUL",1277,"Partido Colorado",2013,2013,47,"Diputado","Suplente",NA,1,1949-09-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,62,62
"SCHUSMAN","KRAFT","JORGE",NA,2149,"Partido Colorado",2010,2010,47,"Diputado","Suplente",NA,1,1963-04-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,49,49
"SCRIGNA","RODRIGUEZ","FERNANDO","JACINTO",1282,"Partido Colorado",2012,2013,47,"Senador","Suplente",NA,1,1958-03-26,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,54,54
"SENA",NA,"ESTACIO",NA,2787,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,1943-09-20,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,68,68
"SILVA","PELUFFO","RUBENSON",NA,2312,"Frente Amplio",2013,2015,47,"Diputado","Suplente","Rivera",1,1961-11-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,50,50
"SILVA","PELUFFO","RUBENSON",NA,2312,"Frente Amplio",2010,2013,47,"Diputado","Suplente","Rivera",1,1961-11-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,NA,50,50
